pergunta;opcao1;opcao2;opcao3;opcao4;correta;disciplina;dificuldade
Qual metal é líquido na temperatura ambiente?;Ouro;Mercúrio;Ferro;Alumínio;2;ciencias;2
Qual órgão é responsável pela digestão dos alimentos?;Coração;Pulmão;Estômago;Fígado;3;ciencias;2
O que é o sistema respiratório responsável por fazer?;Bater o coração;Respirar;Mover os ossos;Circular o sangue;2;ciencias;2

O que cobre a maior parte da Terra?;Terra;Água;Areia;Gelo;2;geografia;0
Qual oceano banha o Brasil?;Pacífico;Índico;Atlântico;Ártico;3;geografia;0
Qual país tem formato de bota?;França;Itália;Portugal;Espanha;2;geografia;0
Qual é a capital do Brasil?;São Paulo;Rio de Janeiro;Brasília;Curitiba;3;geografia;0
Qual é o clima predominante no Nordeste?;Polar;Desértico;Semiárido;Equatorial;3;geografia;0
Capital da Argentina?;Lima;Montevidéu;Buenos Aires;Santiago;3;geografia;1
Capital de Minas Gerais?;Rio;Salvador;Belo Horizonte;Recife;3;geografia;1
Qual é o continente do Brasil?;Ásia;Europa;América do Sul;África;3;geografia;1
Qual estado brasileiro tem a maior floresta?;São Paulo;Amazonas;Rio;Minas;2;geografia;1
Qual é o maior rio do Brasil?;Rio São Francisco;Rio Amazonas;Rio Tietê;Rio Paraná;2;geografia;1
Qual deserto é o maior do mundo?;Saara;Atacama;Gobi;Antártico;1;geografia;2
Qual a principal vegetação da Amazônia?;Caatinga;Pampas;Floresta Tropical;Cerrado;3;geografia;2
O que é um bioma?;Tipo de rocha;Conjunto de ecossistemas;Espécie animal;Fenômeno climático;2;geografia;2
Qual montanha é a mais alta do mundo?;Pico da Neblina;Monte Everest;Kilimanjaro;Aconcágua;2;geografia;2
O que são placas tectônicas?;Tipos de rochas;Camadas da água;Partes da crosta terrestre;Animais marinhos;3;geografia;2

Quem descobriu o Brasil?;Cabral;Colombo;Vespucio;Magalhães;1;historia;0
O Brasil foi colonizado por qual país?;Espanha;França;Portugal;Inglaterra;3;historia;0
Qual era o nome do navio de Cabral?;Santa Maria;Nina;Pinta;Santa Clara;1;historia;0
Quem foi o primeiro presidente do Brasil?;Getúlio Vargas;Deodoro da Fonseca;Dom Pedro I;Lula;2;historia;0
Quem pintou o "Grito"?;Van Gogh;Monet;Munch;Picasso;3;historia;1
Quando foi abolida a escravidão?;1822;1850;1888;1900;3;historia;1
Quem foi Tiradentes?;Cantor;Revolucionário;Presidente;Imperador;2;historia;1
Quem foi Dom Pedro II?;Presidente;Imperador;Revolucionário;Escritor;2;historia;1
Em que ano foi proclamada a República no Brasil?;1888;1889;1890;1879;2;historia;1
Qual era o nome da primeira capital do Brasil?;Rio;Salvador;Recife;SP;2;historia;2
O que foi a Lei Áurea?;Aboliu escravidão;Independência;Proclamou República;Novo imposto;1;historia;2
Qual guerra o Brasil participou em 1942?;Primeira Guerra;Guerra do Paraguai;Segunda Guerra;Guerra Fria;3;historia;2
O que aconteceu em 1822 no Brasil?;Abolição da escravidão;Descobrimento;Independência do Brasil;Proclamação da República;3;historia;2
O que foi a Revolta da Chibata?;Revolta de estudantes;Revolta de marinheiros contra castigos;Revolta de escravos;Protesto contra impostos;2;historia;2

Qual instrumento tem cordas e caixa acústica?;Violino;Piano;Violão;Flauta;3;artes;1
Em que ano o homem pisou na Lua?;1965;1969;1972;1980;2;atualidades;2
